date,store_id,product_id,warehouse_id,supplier_id,units_sold,inventory_level,units_ordered,units_received,delivery_delay_days,stockout_flag,revenue,unit_price_txn,discount_pct,holiday_promo_flag,weather,season,festival_season_flag,back_to_school_flag,promo_type,customer_segment,returned_units,refund_amount,return_reason,product_name,category,unit_cost,unit_price,reorder_point,store_name,city,supplier_name,fill_rate,profit,profit_margin_pct,year,month,year_month,quarter,day_of_week,is_weekend
2021-01-01,S009,PET-P0006,W01,SUP12,7.0,184.0,0,0,0.0,0,9753.94,1393.42,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Bird Cage,Pet Supplies,926.2,1393.42,66,Jaipur High Street Store,Jaipur,Vertex Global Trade,,3270.54,33.53,2021,1,2021-01,1,Friday,False
2021-01-01,S011,PET-P0018,W05,SUP01,5.0,148.0,0,0,0.0,0,5396.75,1079.35,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,Pet Grooming Kit Plus,Pet Supplies,662.91,1079.35,60,Surat Ring Road Store,Surat,Sunrise Distributors,,2082.2000000000003,38.58,2021,1,2021-01,1,Friday,False
2021-01-01,S011,PET-P0025,W05,SUP11,9.0,115.0,0,0,0.0,0,13525.74,1502.86,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Pet Bed Classic,Pet Supplies,1091.35,1502.86,51,Surat Ring Road Store,Surat,Orbit Sourcing Ltd,,3703.59,27.38,2021,1,2021-01,1,Friday,False
2021-01-01,S011,TOY-P0005,W05,SUP02,7.0,165.0,0,0,0.0,0,1380.26,197.18,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Soft Plush Toy,Toys,136.74,197.18,62,Surat Ring Road Store,Surat,Metro Wholesale Co.,,423.0799999999999,30.65,2021,1,2021-01,1,Friday,False
2021-01-01,S011,TOY-P0036,W05,SUP10,10.0,215.0,0,0,0.0,0,6722.9,672.29,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,Building Blocks Mini,Toys,411.31,672.29,65,Surat Ring Road Store,Surat,Silverline Merchandise,,2609.7999999999993,38.82,2021,1,2021-01,1,Friday,False
2021-01-01,S012,PET-P0009,W05,SUP19,5.0,253.0,0,0,0.0,0,4850.3,970.06,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Chew Toy,Pet Supplies,710.19,970.06,77,Nagpur Station Road Store,Nagpur,Cascade Vendors,,1299.35,26.79,2021,1,2021-01,1,Friday,False
2021-01-01,S013,ELE-P0008,W07,SUP04,13.0,150.0,0,0,0.0,0,6096.22,468.94,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Smart Watch Band,Electronics,334.91,468.94,60,Indore Downtown Store,Indore,Apex Trading Corp,,1742.3900000000003,28.58,2021,1,2021-01,1,Friday,False
2021-01-01,S013,KIT-P0017,W07,SUP19,6.0,194.0,0,0,0.0,0,3120.72,520.12,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Steel Cookware Set Plus,Kitchen,270.07,520.12,60,Indore Downtown Store,Indore,Cascade Vendors,,1500.2999999999997,48.08,2021,1,2021-01,1,Friday,False
2021-01-01,S013,SPO-P0006,W07,SUP17,10.0,96.0,0,0,0.0,0,42405.2,4240.52,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Running Shoes,Sports,2520.93,4240.52,47,Indore Downtown Store,Indore,Oceanic Import-Export,,17195.899999999998,40.55,2021,1,2021-01,1,Friday,False
2021-01-01,S014,FUR-P0025,W07,SUP03,6.0,186.0,0,0,0.0,0,165441.06,27573.51,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,Dining Table Classic,Furniture,15083.23,27573.51,62,Bhopal Central Plaza,Bhopal,Prime Vendors Ltd,,74941.68,45.3,2021,1,2021-01,1,Friday,False
2021-01-01,S014,SPO-P0029,W07,SUP09,22.0,60.0,0,0,0.0,0,123198.24,5599.92,0.0,0,Cloudy,Winter,0,0,,Wholesale,0,0.0,,Gym Gloves Classic,Sports,3088.06,5599.92,33,Bhopal Central Plaza,Bhopal,Golden Gate Imports,,55260.92000000001,44.86,2021,1,2021-01,1,Friday,False
2021-01-01,S015,GRO-P0023,W04,SUP19,10.0,149.0,0,0,0.0,0,2764.5,276.45,0.0,0,Sunny,Winter,0,0,,Wholesale,0,0.0,,Biscuit Pack Plus,Groceries,178.7,276.45,62,Patna MG Road Store,Patna,Cascade Vendors,,977.5,35.36,2021,1,2021-01,1,Friday,False
2021-01-01,S015,HOM-P0005,W04,SUP03,4.0,227.0,0,0,0.0,0,2025.44,506.36,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Decorative Vase,Home Decor,272.94,506.36,87,Patna MG Road Store,Patna,Prime Vendors Ltd,,933.6800000000001,46.1,2021,1,2021-01,1,Friday,False
2021-01-01,S015,PET-P0032,W04,SUP18,49.0,147.0,0,0,0.0,0,101503.5,2071.5,0.0,0,Cold,Winter,0,0,,Wholesale,0,0.0,,Cat Litter Pack Mini,Pet Supplies,1168.42,2071.5,83,Patna MG Road Store,Patna,Zenith Commerce Ltd,,44250.92,43.6,2021,1,2021-01,1,Friday,False
2021-01-01,S017,ELE-P0019,W01,SUP07,3.0,139.0,0,0,0.0,0,1841.88,613.96,0.0,0,Unknown,Winter,0,0,,Retail,0,0.0,,Screen Protector,Electronics,349.81,613.96,48,Chandigarh High Street Store,Chandigarh,Horizon Goods Pvt Ltd,,792.45,43.02,2021,1,2021-01,1,Friday,False
2021-01-01,S019,FUR-P0019,W02,SUP08,8.0,128.0,0,0,0.0,0,820.72,102.59,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Console Table,Furniture,65.72,102.59,48,Kochi Ring Road Store,Kochi,Summit Supply Chain,,294.96000000000004,35.94,2021,1,2021-01,1,Friday,False
2021-01-01,S021,CLO-P0019,W02,SUP05,4.0,241.0,0,0,0.0,0,2037.0,509.25,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Polo T-Shirt,Clothing,323.26,509.25,75,Visakhapatnam Downtown Store,Visakhapatnam,Bluewave Supplies,,743.96,36.52,2021,1,2021-01,1,Friday,False
2021-01-01,S021,SPO-P0001,W02,SUP14,40.0,76.0,0,0,0.0,0,56724.4,1418.11,0.0,0,Cold,Winter,0,0,,Wholesale,0,0.0,,Yoga Mat,Sports,857.19,1418.11,38,Visakhapatnam Downtown Store,Visakhapatnam,Everest Supply Co,,22436.799999999996,39.55,2021,1,2021-01,1,Friday,False
2021-01-01,S021,SPO-P0013,W02,SUP15,6.0,289.0,0,0,0.0,0,32519.28,5419.88,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Football Plus,Sports,2978.32,5419.88,96,Visakhapatnam Downtown Store,Visakhapatnam,Falcon Distribution,,14649.359999999997,45.05,2021,1,2021-01,1,Friday,False
2021-01-01,S022,HOM-P0009,W01,SUP20,15.0,218.0,0,0,0.0,0,45015.15,3001.01,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Mirror Frame,Home Decor,1953.05,3001.01,83,Ludhiana Central Plaza,Ludhiana,Meridian Supply Group,,15719.400000000001,34.92,2021,1,2021-01,1,Friday,False
2021-01-01,S023,BEA-P0019,W05,SUP18,9.0,139.0,0,0,0.0,0,3374.73,374.97,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Talcum Powder Plus,Beauty,206.38,374.97,52,Vadodara MG Road Store,Vadodara,Zenith Commerce Ltd,,1517.31,44.96,2021,1,2021-01,1,Friday,False
2021-01-01,S023,ELE-P0030,W05,SUP19,5.0,101.0,0,0,0.0,0,169698.65,33939.73,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Water Purifier Classic,Electronics,23426.67,33939.73,47,Vadodara MG Road Store,Vadodara,Cascade Vendors,,52565.3,30.98,2021,1,2021-01,1,Friday,False
2021-01-01,S024,ELE-P0027,W04,SUP15,18.0,140.0,0,0,0.0,0,491669.82,27314.99,0.0,0,Cloudy,Winter,0,0,,Wholesale,0,0.0,,Home Theatre Plus,Electronics,19308.73,27314.99,73,Ranchi Mall Outlet,Ranchi,Falcon Distribution,,144112.68,29.31,2021,1,2021-01,1,Friday,False
2021-01-01,S024,STA-P0018,W04,SUP19,9.0,114.0,0,0,0.0,0,6764.94,751.66,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,File Folder Pack Plus,Stationery,444.81,751.66,50,Ranchi Mall Outlet,Ranchi,Cascade Vendors,,2761.6499999999996,40.82,2021,1,2021-01,1,Friday,False
2021-01-02,S001,BEA-P0030,W01,SUP12,6.0,227.0,0,0,0.0,0,3229.74,538.29,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Hair Dryer Mini,Beauty,363.39,538.29,76,Pune Central Store,Pune,Vertex Global Trade,,1049.3999999999996,32.49,2021,1,2021-01,1,Saturday,True
2021-01-02,S002,BEA-P0008,W01,SUP09,10.0,153.0,0,0,0.0,0,7201.1,720.11,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Face Serum,Beauty,532.87,720.11,68,Mumbai Andheri Store,Mumbai,Golden Gate Imports,,1872.4000000000005,26.0,2021,1,2021-01,1,Saturday,True
2021-01-02,S002,PET-P0003,W01,SUP06,50.0,145.0,0,0,0.0,0,58257.0,1165.14,0.0,0,Cold,Winter,0,0,,Wholesale,0,0.0,,Pet Shampoo,Pet Supplies,716.09,1165.14,61,Mumbai Andheri Store,Mumbai,Nationwide Traders,,22452.5,38.54,2021,1,2021-01,1,Saturday,True
2021-01-02,S002,STA-P0031,W01,SUP16,21.0,99.0,0,0,0.0,0,17300.01,823.81,0.0,0,Cold,Winter,0,0,,Wholesale,0,0.0,,Notebook Pack Mini,Stationery,494.59,823.81,40,Mumbai Andheri Store,Mumbai,Crescent Traders,,6913.619999999999,39.96,2021,1,2021-01,1,Saturday,True
2021-01-02,S003,BEA-P0011,W02,SUP15,33.0,185.0,0,0,0.0,0,30940.8,937.6,0.0,0,Cold,Winter,0,0,,Wholesale,0,0.0,,Face Wash Plus,Beauty,548.36,937.6,62,Bengaluru Koramangala Store,Bengaluru,Falcon Distribution,,12844.919999999998,41.51,2021,1,2021-01,1,Saturday,True
2021-01-02,S003,GRO-P0007,W02,SUP01,3.0,170.0,0,0,0.0,0,840.54,280.18,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Almonds 500g,Groceries,158.61,280.18,49,Bengaluru Koramangala Store,Bengaluru,Sunrise Distributors,,364.7099999999999,43.39,2021,1,2021-01,1,Saturday,True
2021-01-02,S005,BEA-P0005,W03,SUP17,6.0,180.0,0,0,0.0,0,3519.66,586.61,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,Shampoo 500ml,Beauty,406.88,586.61,81,Delhi Connaught Place Store,Delhi,Oceanic Import-Export,,1078.38,30.64,2021,1,2021-01,1,Saturday,True
2021-01-02,S007,FUR-P0037,W04,SUP02,8.0,158.0,0,0,0.0,0,231911.12,28988.89,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Wardrobe Mini,Furniture,15325.13,28988.89,46,Kolkata MG Road Store,Kolkata,Metro Wholesale Co.,,109310.08,47.13,2021,1,2021-01,1,Saturday,True
2021-01-02,S008,SPO-P0025,W05,SUP20,16.0,124.0,0,0,0.0,0,85177.12,5323.57,0.0,0,Cold,Winter,0,0,,Corporate,0,0.0,,Badminton Racket Classic,Sports,3821.4,5323.57,58,Ahmedabad Mall Outlet,Ahmedabad,Meridian Supply Group,,24034.719999999994,28.22,2021,1,2021-01,1,Saturday,True
2021-01-02,S010,GRO-P0031,W01,SUP16,5.0,147.0,0,0,0.0,0,2334.25,466.85,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Basmati Rice 5kg Classic,Groceries,283.75,466.85,46,Lucknow City Centre Store,Lucknow,Crescent Traders,,915.5,39.22,2021,1,2021-01,1,Saturday,True
2021-01-02,S012,STA-P0026,W05,SUP01,16.0,114.0,0,0,0.0,0,1549.92,96.87,10.0,1,Cold,Winter,0,0,Weekend Promo,Corporate,0,0.0,,Sketch Pen Set Classic,Stationery,73.01,107.63,44,Nagpur Station Road Store,Nagpur,Sunrise Distributors,,381.76,24.63,2021,1,2021-01,1,Saturday,True
2021-01-02,S013,CLO-P0039,W07,SUP02,9.0,107.0,0,0,0.0,0,5715.36,635.04,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Rain Jacket Classic,Clothing,461.86,635.04,42,Indore Downtown Store,Indore,Metro Wholesale Co.,,1558.62,27.27,2021,1,2021-01,1,Saturday,True
2021-01-02,S013,ELE-P0008,W07,SUP04,12.0,138.0,0,0,0.0,0,5627.28,468.94,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Smart Watch Band,Electronics,334.91,468.94,60,Indore Downtown Store,Indore,Apex Trading Corp,,1608.3599999999997,28.58,2021,1,2021-01,1,Saturday,True
2021-01-02,S013,KIT-P0017,W07,SUP19,9.0,185.0,0,0,0.0,0,4681.08,520.12,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Steel Cookware Set Plus,Kitchen,270.07,520.12,60,Indore Downtown Store,Indore,Cascade Vendors,,2250.45,48.08,2021,1,2021-01,1,Saturday,True
2021-01-02,S014,PET-P0024,W07,SUP11,5.0,213.0,0,0,0.0,0,11481.75,2296.35,0.0,0,Cloudy,Winter,0,0,,Retail,1,2296.35,Wrong Item,Pet Leash Classic,Pet Supplies,1192.77,2296.35,76,Bhopal Central Plaza,Bhopal,Orbit Sourcing Ltd,,5517.9,48.06,2021,1,2021-01,1,Saturday,True
2021-01-02,S015,BEA-P0007,W04,SUP02,2.0,233.0,0,0,0.0,0,1912.32,956.16,0.0,0,Unknown,Winter,0,0,,Retail,0,0.0,,Perfume,Beauty,647.29,956.16,82,Patna MG Road Store,Patna,Metro Wholesale Co.,,617.74,32.3,2021,1,2021-01,1,Saturday,True
2021-01-02,S015,CLO-P0008,W04,SUP06,5.0,172.0,0,0,0.0,0,3577.55,715.51,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,Kids T-Shirt,Clothing,389.74,715.51,57,Patna MG Road Store,Patna,Nationwide Traders,,1628.8500000000001,45.53,2021,1,2021-01,1,Saturday,True
2021-01-02,S015,GRO-P0003,W04,SUP03,10.0,136.0,0,0,0.0,0,1452.0,145.2,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Wheat Flour 5kg,Groceries,83.06,145.2,58,Patna MG Road Store,Patna,Prime Vendors Ltd,,621.4,42.8,2021,1,2021-01,1,Saturday,True
2021-01-02,S015,GRO-P0023,W04,SUP19,7.0,142.0,0,0,0.0,0,1664.25,237.75,14.0,1,Cloudy,Winter,0,0,Weekend Promo,Retail,0,0.0,,Biscuit Pack Plus,Groceries,178.7,276.45,62,Patna MG Road Store,Patna,Cascade Vendors,,413.35000000000014,24.84,2021,1,2021-01,1,Saturday,True
2021-01-02,S015,STA-P0022,W04,SUP04,19.0,147.0,0,0,0.0,0,11510.58,605.82,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Ball Pen Set Classic,Stationery,345.0,605.82,52,Patna MG Road Store,Patna,Apex Trading Corp,,4955.58,43.05,2021,1,2021-01,1,Saturday,True
2021-01-02,S016,ELE-P0036,W06,SUP06,26.0,99.0,0,0,0.0,0,981293.82,37742.07,0.0,0,Cloudy,Winter,0,0,,Corporate,7,264194.49,Size Issue,Air Conditioner Classic,Electronics,19524.16,37742.07,51,Guwahati Mall Outlet,Guwahati,Nationwide Traders,,473665.66,48.27,2021,1,2021-01,1,Saturday,True
2021-01-02,S017,CLO-P0021,W01,SUP17,20.0,207.0,0,0,0.0,0,20761.4,1038.07,0.0,0,Cold,Winter,0,0,,Corporate,0,0.0,,Cargo Pants Plus,Clothing,675.2,1038.07,83,Chandigarh High Street Store,Chandigarh,Oceanic Import-Export,,7257.4000000000015,34.96,2021,1,2021-01,1,Saturday,True
2021-01-02,S018,HOM-P0024,W02,SUP09,13.0,144.0,0,0,0.0,0,40201.98,3092.46,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Wall Art Canvas Classic,Home Decor,1787.28,3092.46,49,Coimbatore City Centre Store,Coimbatore,Golden Gate Imports,,16967.340000000004,42.21,2021,1,2021-01,1,Saturday,True
2021-01-02,S019,SPO-P0010,W02,SUP04,5.0,203.0,0,0,0.0,0,7395.75,1479.15,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,Fitness Band,Sports,767.62,1479.15,77,Kochi Ring Road Store,Kochi,Apex Trading Corp,,3557.65,48.1,2021,1,2021-01,1,Saturday,True
2021-01-02,S019,STA-P0023,W02,SUP01,10.0,208.0,0,0,0.0,0,2625.9,262.59,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Geometry Box Classic,Stationery,139.18,262.59,84,Kochi Ring Road Store,Kochi,Sunrise Distributors,,1234.1,47.0,2021,1,2021-01,1,Saturday,True
2021-01-02,S019,TOY-P0036,W02,SUP10,4.0,196.0,0,0,0.0,0,2689.16,672.29,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Building Blocks Mini,Toys,411.31,672.29,65,Kochi Ring Road Store,Kochi,Silverline Merchandise,,1043.9199999999998,38.82,2021,1,2021-01,1,Saturday,True
2021-01-02,S020,FUR-P0032,W05,SUP04,9.0,143.0,0,0,0.0,0,27812.79,3090.31,0.0,0,Cloudy,Winter,0,0,,Corporate,0,0.0,,Study Table Mini,Furniture,1812.83,3090.31,42,Nashik Station Road Store,Nashik,Apex Trading Corp,,11497.320000000002,41.34,2021,1,2021-01,1,Saturday,True
2021-01-02,S021,BEA-P0027,W02,SUP09,7.0,250.0,0,0,0.0,0,7826.0,1118.0,19.0,1,Cold,Winter,0,0,Weekend Promo,Online,0,0.0,,Perfume Classic,Beauty,743.67,1380.25,93,Visakhapatnam Downtown Store,Visakhapatnam,Golden Gate Imports,,2620.3100000000004,33.48,2021,1,2021-01,1,Saturday,True
2021-01-02,S021,GRO-P0012,W02,SUP05,9.0,141.0,0,0,0.0,0,4713.3,523.7,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Salt 1kg,Groceries,300.39,523.7,80,Visakhapatnam Downtown Store,Visakhapatnam,Bluewave Supplies,,2009.7900000000004,42.64,2021,1,2021-01,1,Saturday,True
2021-01-02,S021,KIT-P0006,W02,SUP12,8.0,265.0,0,0,0.0,0,49459.92,6182.49,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Storage Container Set,Kitchen,3491.89,6182.49,81,Visakhapatnam Downtown Store,Visakhapatnam,Vertex Global Trade,,21524.8,43.52,2021,1,2021-01,1,Saturday,True
2021-01-02,S022,FUR-P0033,W01,SUP08,10.0,209.0,0,0,0.0,0,104743.3,10474.33,0.0,0,Cold,Winter,0,0,,Online,0,0.0,,Sofa Set Mini,Furniture,6337.65,10474.33,81,Ludhiana Central Plaza,Ludhiana,Summit Supply Chain,,41366.8,39.49,2021,1,2021-01,1,Saturday,True
2021-01-02,S025,ELE-P0003,W07,SUP04,25.0,148.0,0,0,0.0,0,5154.75,206.19,0.0,0,Sunny,Winter,0,0,,Corporate,0,0.0,,USB-C Charger,Electronics,156.38,206.19,67,Raipur High Street Store,Raipur,Apex Trading Corp,,1245.25,24.16,2021,1,2021-01,1,Saturday,True
2021-01-03,S001,BEA-P0003,W01,SUP04,36.0,298.0,0,0,0.0,0,18392.76,510.91,0.0,0,Cloudy,Winter,0,0,,Wholesale,0,0.0,,Lipstick,Beauty,297.93,510.91,94,Pune Central Store,Pune,Apex Trading Corp,,7667.279999999999,41.69,2021,1,2021-01,1,Sunday,True
2021-01-03,S001,GRO-P0016,W01,SUP05,5.0,286.0,0,0,0.0,0,479.3,95.86,0.0,0,Unknown,Winter,0,0,,Corporate,0,0.0,,Biscuits Pack,Groceries,58.7,95.86,86,Pune Central Store,Pune,Bluewave Supplies,,185.8,38.76,2021,1,2021-01,1,Sunday,True
2021-01-03,S001,KIT-P0029,W01,SUP06,10.0,284.0,0,0,0.0,0,32196.4,3219.64,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Chopping Board Classic,Kitchen,2224.05,3219.64,89,Pune Central Store,Pune,Nationwide Traders,,9955.900000000001,30.92,2021,1,2021-01,1,Sunday,True
2021-01-03,S001,PET-P0007,W01,SUP04,11.0,214.0,0,0,0.0,0,12601.71,1145.61,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Fish Tank Filter,Pet Supplies,829.22,1145.61,71,Pune Central Store,Pune,Apex Trading Corp,,3480.289999999999,27.62,2021,1,2021-01,1,Sunday,True
2021-01-03,S001,TOY-P0039,W01,SUP12,11.0,153.0,0,0,0.0,0,5129.52,466.32,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Action Figure Mini,Toys,339.97,466.32,50,Pune Central Store,Pune,Vertex Global Trade,,1389.8500000000004,27.1,2021,1,2021-01,1,Sunday,True
2021-01-03,S002,ELE-P0019,W01,SUP07,8.0,105.0,0,0,0.0,0,4911.68,613.96,0.0,0,Cold,Winter,0,0,,Corporate,0,0.0,,Screen Protector,Electronics,349.81,613.96,48,Mumbai Andheri Store,Mumbai,Horizon Goods Pvt Ltd,,2113.2000000000003,43.02,2021,1,2021-01,1,Sunday,True
2021-01-03,S002,SPO-P0009,W01,SUP11,12.0,291.0,0,0,0.0,0,29539.56,2461.63,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Gym Gloves,Sports,1750.25,2461.63,84,Mumbai Andheri Store,Mumbai,Orbit Sourcing Ltd,,8536.560000000001,28.9,2021,1,2021-01,1,Sunday,True
2021-01-03,S002,STA-P0001,W01,SUP03,11.0,105.0,0,0,0.0,0,5116.02,730.86,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Notebook Pack,Stationery,502.03,730.86,40,Mumbai Andheri Store,Mumbai,Prime Vendors Ltd,,-406.3099999999995,-7.94,2021,1,2021-01,1,Sunday,True
2021-01-03,S003,TOY-P0020,W02,SUP02,7.0,211.0,0,0,0.0,0,3542.14,506.02,7.0,1,Sunny,Winter,0,0,Weekend Promo,Online,0,0.0,,Card Game Set,Toys,322.82,544.11,80,Bengaluru Koramangala Store,Bengaluru,Metro Wholesale Co.,,1282.4,36.2,2021,1,2021-01,1,Sunday,True
2021-01-03,S004,CLO-P0012,W02,SUP06,19.0,139.0,0,0,0.0,0,5354.2,281.8,7.0,1,Sunny,Winter,0,0,Weekend Promo,Corporate,0,0.0,,Woolen Sweater,Clothing,214.34,303.01,58,Chennai T Nagar Store,Chennai,Nationwide Traders,,1281.7399999999998,23.94,2021,1,2021-01,1,Sunday,True
2021-01-03,S004,CLO-P0036,W02,SUP09,30.0,242.0,0,0,0.0,0,21710.7,723.69,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Cargo Pants Classic,Clothing,491.83,723.69,93,Chennai T Nagar Store,Chennai,Golden Gate Imports,,6955.800000000001,32.04,2021,1,2021-01,1,Sunday,True
2021-01-03,S004,ELE-P0024,W02,SUP17,6.0,156.0,0,0,0.0,0,85347.12,14224.52,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Smart Watch Plus,Electronics,8556.6,14224.52,48,Chennai T Nagar Store,Chennai,Oceanic Import-Export,,34007.51999999999,39.85,2021,1,2021-01,1,Sunday,True
2021-01-03,S004,STA-P0002,W02,SUP05,49.0,112.0,0,0,0.0,0,35535.78,725.22,0.0,0,Cloudy,Winter,0,0,,Wholesale,0,0.0,,Ball Pen Set,Stationery,416.41,725.22,65,Chennai T Nagar Store,Chennai,Bluewave Supplies,,15131.689999999999,42.58,2021,1,2021-01,1,Sunday,True
2021-01-03,S006,FUR-P0018,W02,SUP02,10.0,190.0,0,0,0.0,0,2598.6,259.86,0.0,0,Sunny,Winter,0,0,,Online,0,0.0,,Recliner Chair,Furniture,139.59,259.86,65,Hyderabad Central Plaza,Hyderabad,Metro Wholesale Co.,,1202.6999999999998,46.28,2021,1,2021-01,1,Sunday,True
