product_id,product_name,category,total_units_sold,avg_inventory,turnover_ratio
CLO-P0005,Hoodie,Clothing,2334.0,138.6602564102564,16.83
CLO-P0006,Track Pants,Clothing,1370.0,94.84545454545454,14.44
CLO-P0007,Winter Jacket,Clothing,2337.0,158.225,14.77
CLO-P0008,Kids T-Shirt,Clothing,1733.0,132.27272727272728,13.1
CLO-P0009,Casual Shorts,Clothing,1196.0,147.74157303370785,8.1
CLO-P0010,Kurta Set,Clothing,1954.0,72.20175438596492,27.06
CLO-P0011,Sports Jersey,Clothing,1164.0,160.6813186813187,7.24
CLO-P0012,Woolen Sweater,Clothing,2222.0,113.08169934640523,19.65
CLO-P0013,Rain Jacket,Clothing,1743.0,84.17557251908397,20.71
CLO-P0014,Formal Trousers,Clothing,1766.0,141.27338129496403,12.5
CLO-P0015,Night Suit,Clothing,1754.0,141.2608695652174,12.42
CLO-P0016,Ethnic Saree,Clothing,2828.0,161.48907103825135,17.51
CLO-P0017,Denim Jacket,Clothing,839.0,145.91304347826087,5.75
CLO-P0018,Cargo Pants,Clothing,1655.0,74.84745762711864,22.11
CLO-P0019,Polo T-Shirt,Clothing,2514.5,132.39655172413794,18.99
CLO-P0020,Maxi Dress,Clothing,1191.0,121.83,9.78
CLO-P0021,Cargo Pants Plus,Clothing,2290.0,195.73899371069183,11.7
CLO-P0022,Silk Saree Plus,Clothing,2139.0,134.15546218487395,15.94
CLO-P0023,Kurta Set Plus,Clothing,1332.0,176.32075471698113,7.55
CLO-P0024,Rain Jacket Plus,Clothing,1731.0,164.32231404958677,10.53
CLO-P0025,Woolen Sweater Plus,Clothing,1507.0,185.94957983193277,8.1
CLO-P0026,Sports Shorts Plus,Clothing,3136.0,134.8279569892473,23.26
CLO-P0027,Leather Belt Plus,Clothing,2462.0,96.2410071942446,25.58
CLO-P0028,Winter Jacket Plus,Clothing,1865.0,85.51515151515152,21.81
CLO-P0029,Track Suit Plus,Clothing,1477.0,190.77777777777777,7.74
CLO-P0030,Ethnic Kurti Classic,Clothing,2257.0,149.42361111111111,15.1
CLO-P0031,Cotton T-Shirt Classic,Clothing,1734.0,227.3302752293578,7.63
CLO-P0032,Denim Jeans Classic,Clothing,1737.0,162.58661417322836,10.68
CLO-P0033,Formal Shirt Classic,Clothing,2049.0,103.08163265306122,19.88
CLO-P0034,Summer Dress Classic,Clothing,1029.0,195.35802469135803,5.27
CLO-P0035,Hoodie Classic,Clothing,2013.5,184.50381679389312,10.91
CLO-P0036,Cargo Pants Classic,Clothing,1839.0,184.8608695652174,9.95
CLO-P0037,Silk Saree Classic,Clothing,1580.0,53.095652173913045,29.76
CLO-P0038,Kurta Set Classic,Clothing,2388.0,114.78321678321679,20.8
CLO-P0039,Rain Jacket Classic,Clothing,1601.0,74.3170731707317,21.54
CLO-P0040,Woolen Sweater Classic,Clothing,1136.0,73.62765957446808,15.43
ELE-P0001,Wireless Mouse,Electronics,1711.0,147.56934306569343,11.59
ELE-P0002,Bluetooth Speaker,Electronics,622.0,170.87037037037038,3.64
ELE-P0003,USB-C Charger,Electronics,3037.0,135.31791907514452,22.44
ELE-P0004,LED Desk Lamp,Electronics,1212.0,134.34313725490196,9.02
ELE-P0005,Power Bank 10000mAh,Electronics,2345.0,152.81578947368422,15.35
ELE-P0006,Wireless Earbuds,Electronics,1860.0,100.8041958041958,18.45
ELE-P0007,HDMI Cable,Electronics,1392.0,117.1547619047619,11.88
ELE-P0008,Smart Watch Band,Electronics,2275.0,114.48322147651007,19.87
ELE-P0009,USB Hub,Electronics,941.0,78.975,11.92
ELE-P0010,Webcam HD,Electronics,1414.0,120.55128205128206,11.73
ELE-P0011,Wireless Keyboard,Electronics,2652.0,77.48235294117647,34.23
ELE-P0012,Phone Stand,Electronics,1286.0,122.93548387096774,10.46
ELE-P0013,Laptop Sleeve,Electronics,1483.0,108.10185185185185,13.72
ELE-P0014,Portable Fan,Electronics,1348.0,206.4217391304348,6.53
ELE-P0015,LED Strip Lights,Electronics,2167.0,105.79746835443038,20.48
ELE-P0016,Extension Board,Electronics,2456.0,158.2530864197531,15.52
ELE-P0017,Bluetooth Adapter,Electronics,1866.0,79.41732283464567,23.5
ELE-P0018,Memory Card 64GB,Electronics,2043.0,85.09420289855072,24.01
ELE-P0019,Screen Protector,Electronics,1836.0,94.11486486486487,19.51
ELE-P0020,Car Charger,Electronics,1020.0,196.23684210526315,5.2
ELE-P0021,Air Conditioner Plus,Electronics,2381.0,168.00653594771242,14.17
ELE-P0022,Room Cooler Plus,Electronics,2138.0,194.14193548387098,11.01
ELE-P0023,Microwave Oven Plus,Electronics,2117.0,77.359375,27.37
ELE-P0024,Smart Watch Plus,Electronics,978.0,116.76344086021506,8.38
ELE-P0025,Power Bank Plus,Electronics,901.0,127.3913043478261,7.07
ELE-P0026,Digital Camera Plus,Electronics,1393.0,70.375,19.79
ELE-P0027,Home Theatre Plus,Electronics,1393.5,184.23008849557522,7.56
ELE-P0028,Electric Kettle Plus,Electronics,1897.0,51.87234042553192,36.57
ELE-P0029,Ceiling Fan Plus,Electronics,1188.0,166.73214285714286,7.13
ELE-P0030,Water Purifier Classic,Electronics,1628.0,105.55725190839695,15.42
ELE-P0031,Bluetooth Speaker Classic,Electronics,1725.5,67.82113821138212,25.44
ELE-P0032,Wireless Earbuds Classic,Electronics,1857.0,185.02205882352942,10.04
ELE-P0033,Smartphone Classic,Electronics,583.0,161.66,3.61
ELE-P0034,LED TV Classic,Electronics,2422.0,184.5065789473684,13.13
ELE-P0035,Laptop Classic,Electronics,1342.0,145.90825688073394,9.2
ELE-P0036,Air Conditioner Classic,Electronics,1856.0,93.67037037037036,19.81
ELE-P0037,Room Cooler Classic,Electronics,663.0,91.7089552238806,7.23
ELE-P0038,Microwave Oven Classic,Electronics,1309.0,81.375,16.09
ELE-P0039,Smart Watch Classic,Electronics,1666.0,57.837606837606835,28.8
ELE-P0040,Power Bank Classic,Electronics,1654.5,63.73913043478261,25.96
FUR-P0001,Study Table,Furniture,1458.0,157.372,9.26
FUR-P0002,Office Chair,Furniture,1510.0,117.4390243902439,12.86
FUR-P0003,Bookshelf 5-Tier,Furniture,1654.0,101.26315789473684,16.33
FUR-P0004,Bedside Table,Furniture,1432.0,138.89523809523808,10.31
FUR-P0005,Folding Chair,Furniture,570.0,131.30645161290323,4.34
FUR-P0006,TV Stand,Furniture,1814.0,76.36713286713287,23.75
FUR-P0007,Shoe Rack,Furniture,1741.0,158.73228346456693,10.97
FUR-P0008,Coat Rack,Furniture,1178.0,131.35353535353536,8.97
FUR-P0009,Wall Shelf Set,Furniture,1401.0,121.78504672897196,11.5
FUR-P0010,Bean Bag,Furniture,1980.0,141.74285714285713,13.97
FUR-P0011,Dining Chair,Furniture,1220.0,164.3984962406015,7.42
FUR-P0012,Storage Cabinet,Furniture,1183.0,139.30733944954127,8.49
FUR-P0013,Ottoman Stool,Furniture,1758.0,110.33333333333333,15.93
FUR-P0014,Laptop Table,Furniture,1232.0,137.80672268907563,8.94
FUR-P0015,Wardrobe 2-Door,Furniture,770.0,116.0,6.64
FUR-P0016,Bar Stool,Furniture,1415.0,103.34285714285714,13.69
FUR-P0017,Kids Study Desk,Furniture,1332.0,113.15555555555555,11.77
FUR-P0018,Recliner Chair,Furniture,1966.0,123.29268292682927,15.95
FUR-P0019,Console Table,Furniture,1601.0,114.23076923076923,14.02
FUR-P0020,Cushion Stool,Furniture,1700.0,193.51655629139074,8.78
FUR-P0021,Wooden Chair Classic,Furniture,1536.0,139.1991869918699,11.03
FUR-P0022,Study Table Classic,Furniture,1137.0,54.68018018018018,20.79
FUR-P0023,Sofa Set Classic,Furniture,1142.5,76.95698924731182,14.85
FUR-P0024,Bookshelf Classic,Furniture,1616.0,195.2710280373832,8.28
FUR-P0025,Dining Table Classic,Furniture,1683.0,116.83333333333333,14.41
FUR-P0026,Bed Frame Classic,Furniture,1425.0,154.7244094488189,9.21
FUR-P0027,Wardrobe Classic,Furniture,1194.0,197.86046511627907,6.03
FUR-P0028,Office Chair Classic,Furniture,1276.0,89.38888888888889,14.27
FUR-P0029,Coffee Table Classic,Furniture,1423.0,109.93548387096774,12.94
FUR-P0030,TV Unit Mini,Furniture,1577.0,96.28448275862068,16.38
FUR-P0031,Wooden Chair Mini,Furniture,1676.0,134.53571428571428,12.46
FUR-P0032,Study Table Mini,Furniture,1506.0,83.90601503759399,17.95
FUR-P0033,Sofa Set Mini,Furniture,1504.0,182.85365853658536,8.23
FUR-P0034,Bookshelf Mini,Furniture,1123.0,68.45283018867924,16.41
FUR-P0035,Dining Table Mini,Furniture,2032.0,56.74820143884892,35.81
FUR-P0036,Bed Frame Mini,Furniture,1625.0,93.088,17.46
FUR-P0037,Wardrobe Mini,Furniture,1840.0,85.87179487179488,21.43
FUR-P0038,Office Chair Mini,Furniture,1593.0,181.77966101694915,8.76
FUR-P0039,Coffee Table Mini,Furniture,1750.0,169.24460431654677,10.34
FUR-P0040,TV Unit Deluxe,Furniture,1097.0,155.30434782608697,7.06
GRO-P0001,Basmati Rice 5kg,Groceries,3112.0,163.90697674418604,18.99
GRO-P0002,Sunflower Oil 1L,Groceries,1854.0,93.7218045112782,19.78
GRO-P0003,Wheat Flour 5kg,Groceries,2312.0,102.95833333333333,22.46
GRO-P0004,Green Tea Pack,Groceries,1812.0,102.38709677419355,17.7
GRO-P0005,Organic Honey 500g,Groceries,1370.0,83.9278350515464,16.32
GRO-P0006,Masala Mix 200g,Groceries,1467.0,84.87234042553192,17.28
GRO-P0007,Almonds 500g,Groceries,1775.0,92.60526315789474,19.17
GRO-P0008,Brown Bread,Groceries,1974.0,170.15533980582524,11.6
GRO-P0009,Coffee Powder 250g,Groceries,1720.5,74.02479338842976,23.24
GRO-P0010,Peanut Butter 400g,Groceries,1072.0,139.10204081632654,7.71
GRO-P0011,Cornflakes 500g,Groceries,2518.0,155.59756097560975,16.18
GRO-P0012,Salt 1kg,Groceries,2506.0,147.6979865771812,16.97
GRO-P0013,Sugar 1kg,Groceries,533.0,75.47619047619048,7.06
GRO-P0014,Pasta 500g,Groceries,2039.0,100.39597315436242,20.31
GRO-P0015,Ketchup 500ml,Groceries,1993.0,128.24285714285713,15.54
GRO-P0016,Biscuits Pack,Groceries,1660.0,170.53333333333333,9.73
GRO-P0017,Jaggery 500g,Groceries,1581.0,140.58490566037736,11.25
GRO-P0018,Pickle 300g,Groceries,1771.0,121.5625,14.57
GRO-P0019,Milk Powder 500g,Groceries,1922.0,164.54545454545453,11.68
GRO-P0020,Instant Noodles Pack,Groceries,2002.0,134.5,14.88
GRO-P0021,Cold Drink 2L Plus,Groceries,819.0,116.19117647058823,7.05
GRO-P0022,Instant Noodles Pack Plus,Groceries,511.0,110.04716981132076,4.64
GRO-P0023,Biscuit Pack Plus,Groceries,3064.0,151.6086956521739,20.21
GRO-P0024,Pulses 1kg Plus,Groceries,2287.0,138.01666666666668,16.57
GRO-P0025,Salt 1kg Plus,Groceries,2125.0,183.68211920529802,11.57
GRO-P0026,Ice Cream Tub Plus,Groceries,937.0,85.12328767123287,11.01
GRO-P0027,Bottled Water 1L Plus,Groceries,1971.0,185.13565891472868,10.65
GRO-P0028,Coffee Powder 200g Plus,Groceries,2120.0,136.84920634920636,15.49
GRO-P0029,Fruit Juice 1L Plus,Groceries,1951.0,119.76190476190476,16.29
GRO-P0030,Snack Combo Pack Classic,Groceries,1536.0,128.9047619047619,11.92
GRO-P0031,Basmati Rice 5kg Classic,Groceries,2398.0,101.9290780141844,23.53
GRO-P0032,Cooking Oil 1L Classic,Groceries,1507.0,97.02678571428571,15.53
GRO-P0033,Wheat Flour 5kg Classic,Groceries,1429.0,172.44,8.29
GRO-P0034,Sugar 1kg Classic,Groceries,1788.0,193.59649122807016,9.24
GRO-P0035,Tea Leaves 250g Classic,Groceries,999.0,123.644578313253,8.08
GRO-P0036,Cold Drink 2L Classic,Groceries,1862.0,150.47744360902254,12.37
GRO-P0037,Instant Noodles Pack Classic,Groceries,2144.0,55.41489361702128,38.69
GRO-P0038,Biscuit Pack Classic,Groceries,2403.0,56.95569620253165,42.19
GRO-P0039,Pulses 1kg Classic,Groceries,1586.0,64.54444444444445,24.57
GRO-P0040,Salt 1kg Classic,Groceries,2016.0,83.43859649122807,24.16
HOM-P0001,Wall Clock,Home Decor,1131.0,97.75742574257426,11.57
HOM-P0002,Table Lamp,Home Decor,1311.0,129.09756097560975,10.16
HOM-P0003,Photo Frame Set,Home Decor,2237.0,207.92253521126761,10.76
HOM-P0004,Wall Art Canvas,Home Decor,741.0,192.11666666666667,3.86
HOM-P0005,Decorative Vase,Home Decor,1710.0,162.4878048780488,10.52
HOM-P0006,Curtain Set,Home Decor,1663.0,112.58119658119658,14.77
HOM-P0007,Scented Candle Pack,Home Decor,601.0,103.72058823529412,5.79
HOM-P0008,Rug,Home Decor,1632.0,146.3014705882353,11.16
HOM-P0009,Mirror Frame,Home Decor,1359.0,192.02777777777777,7.08
HOM-P0010,Fairy Lights,Home Decor,1288.0,118.97979797979798,10.83
HOM-P0011,Wall Clock Plus,Home Decor,866.0,141.275,6.13
HOM-P0012,Table Lamp Plus,Home Decor,747.0,143.02666666666667,5.22
HOM-P0013,Photo Frame Set Plus,Home Decor,1481.0,166.6,8.89
HOM-P0014,Wall Art Canvas Plus,Home Decor,2283.0,130.38125,17.51
HOM-P0015,Decorative Vase Plus,Home Decor,2447.0,79.26288659793815,30.87
HOM-P0016,Curtain Set Plus,Home Decor,1573.0,192.49056603773585,8.17
HOM-P0017,Scented Candle Pack Plus,Home Decor,2541.0,165.48984771573603,15.35
HOM-P0018,Rug Plus,Home Decor,1933.0,153.2608695652174,12.61
HOM-P0019,Mirror Frame Plus,Home Decor,1625.0,114.1732283464567,14.23
HOM-P0020,Fairy Lights Classic,Home Decor,827.0,142.18571428571428,5.82
HOM-P0021,Wall Clock Classic,Home Decor,1183.0,203.7549019607843,5.81
HOM-P0022,Table Lamp Classic,Home Decor,1255.0,82.54368932038835,15.2
HOM-P0023,Photo Frame Set Classic,Home Decor,2042.0,90.95930232558139,22.45
HOM-P0024,Wall Art Canvas Classic,Home Decor,1716.0,89.67105263157895,19.14
HOM-P0025,Decorative Vase Classic,Home Decor,2254.0,148.33236994219652,15.2
HOM-P0026,Curtain Set Classic,Home Decor,2638.0,211.0595238095238,12.5
HOM-P0027,Scented Candle Pack Classic,Home Decor,2082.0,255.17407407407407,8.16
HOM-P0028,Rug Classic,Home Decor,1336.0,185.6846846846847,7.19
HOM-P0029,Mirror Frame Classic,Home Decor,1418.0,133.69026548672565,10.61
HOM-P0030,Fairy Lights Mini,Home Decor,2160.0,234.37974683544303,9.22
HOM-P0031,Wall Clock Mini,Home Decor,1177.0,168.57407407407408,6.98
HOM-P0032,Table Lamp Mini,Home Decor,1793.0,154.08396946564886,11.64
HOM-P0033,Photo Frame Set Mini,Home Decor,2303.0,145.4689265536723,15.83
HOM-P0034,Wall Art Canvas Mini,Home Decor,1113.0,195.7549019607843,5.69
HOM-P0035,Decorative Vase Mini,Home Decor,1096.0,190.2922077922078,5.76
KIT-P0001,Non-Stick Pan,Kitchen,1576.0,56.20161290322581,28.04
KIT-P0002,Pressure Cooker,Kitchen,1939.0,163.44615384615383,11.86
KIT-P0003,Knife Set,Kitchen,1040.0,202.77173913043478,5.13
KIT-P0004,Mixer Grinder,Kitchen,974.0,106.8170731707317,9.12
KIT-P0005,Dinner Set,Kitchen,2087.0,212.12230215827338,9.84
KIT-P0006,Storage Container Set,Kitchen,1568.0,177.7062937062937,8.82
KIT-P0007,Steel Cookware Set,Kitchen,602.0,193.7027027027027,3.11
KIT-P0008,Blender,Kitchen,1388.0,93.625,14.83
KIT-P0009,Chopping Board,Kitchen,1519.0,119.82203389830508,12.68
KIT-P0010,Tiffin Box,Kitchen,2870.0,102.32820512820513,28.05
KIT-P0011,Non-Stick Pan Plus,Kitchen,1491.0,189.67164179104478,7.86
KIT-P0012,Pressure Cooker Plus,Kitchen,1175.0,100.15841584158416,11.73
KIT-P0013,Knife Set Plus,Kitchen,1042.0,161.6341463414634,6.45
KIT-P0014,Mixer Grinder Plus,Kitchen,2169.0,233.33450704225353,9.3
KIT-P0015,Dinner Set Plus,Kitchen,1344.0,180.1478260869565,7.46
KIT-P0016,Storage Container Set Plus,Kitchen,1405.0,106.20253164556962,13.23
KIT-P0017,Steel Cookware Set Plus,Kitchen,1695.0,166.0040650406504,10.21
KIT-P0018,Blender Plus,Kitchen,1035.0,205.18446601941747,5.04
KIT-P0019,Chopping Board Plus,Kitchen,1269.0,115.0,11.03
KIT-P0020,Tiffin Box Classic,Kitchen,1140.0,174.0875,6.55
KIT-P0021,Non-Stick Pan Classic,Kitchen,702.0,110.74626865671642,6.34
KIT-P0022,Pressure Cooker Classic,Kitchen,1209.0,57.12903225806452,21.16
KIT-P0023,Knife Set Classic,Kitchen,1296.0,165.30898876404495,7.84
KIT-P0024,Mixer Grinder Classic,Kitchen,1940.0,96.19083969465649,20.17
KIT-P0025,Dinner Set Classic,Kitchen,1841.0,185.21328671328672,9.94
KIT-P0026,Storage Container Set Classic,Kitchen,1794.0,48.59574468085106,36.92
KIT-P0027,Steel Cookware Set Classic,Kitchen,1609.0,86.32758620689656,18.64
KIT-P0028,Blender Classic,Kitchen,1332.0,147.75,9.02
KIT-P0029,Chopping Board Classic,Kitchen,2111.0,220.70394736842104,9.56
KIT-P0030,Tiffin Box Mini,Kitchen,1363.0,170.9763779527559,7.97
KIT-P0031,Non-Stick Pan Mini,Kitchen,1353.0,203.58139534883722,6.65
KIT-P0032,Pressure Cooker Mini,Kitchen,1398.0,146.23469387755102,9.56
KIT-P0033,Knife Set Mini,Kitchen,1571.0,81.09401709401709,19.37
KIT-P0034,Mixer Grinder Mini,Kitchen,2126.0,93.53370786516854,22.73
KIT-P0035,Dinner Set Mini,Kitchen,1396.0,179.75454545454545,7.77
PET-P0001,Dog Food 3kg,Pet Supplies,751.0,135.28571428571428,5.55
PET-P0002,Cat Litter Pack,Pet Supplies,1231.0,161.92105263157896,7.6
PET-P0003,Pet Shampoo,Pet Supplies,2054.0,134.7183908045977,15.25
PET-P0004,Pet Leash,Pet Supplies,1560.0,53.44090909090909,29.19
PET-P0005,Pet Bed,Pet Supplies,1897.0,73.93706293706293,25.66
PET-P0006,Bird Cage,Pet Supplies,1709.0,142.004,12.03
PET-P0007,Fish Tank Filter,Pet Supplies,1916.0,143.66129032258064,13.34
PET-P0008,Pet Grooming Kit,Pet Supplies,1488.0,187.7991452991453,7.92
PET-P0009,Chew Toy,Pet Supplies,825.0,204.2089552238806,4.04
PET-P0010,Pet Bowl Set,Pet Supplies,1802.0,166.84351145038167,10.8
PET-P0011,Dog Food 3kg Plus,Pet Supplies,1006.0,106.60909090909091,9.44
PET-P0012,Cat Litter Pack Plus,Pet Supplies,1715.0,82.43697478991596,20.8
PET-P0013,Pet Shampoo Plus,Pet Supplies,1897.0,183.34228187919464,10.35
PET-P0014,Pet Leash Plus,Pet Supplies,1110.0,69.76829268292683,15.91
PET-P0015,Pet Bed Plus,Pet Supplies,2642.0,123.30729166666667,21.43
PET-P0016,Bird Cage Plus,Pet Supplies,874.0,73.72602739726027,11.85
PET-P0017,Fish Tank Filter Plus,Pet Supplies,1268.0,184.15,6.89
PET-P0018,Pet Grooming Kit Plus,Pet Supplies,816.0,105.30864197530865,7.75
PET-P0019,Chew Toy Plus,Pet Supplies,1242.0,137.53092783505156,9.03
PET-P0020,Pet Bowl Set Classic,Pet Supplies,1209.0,132.97272727272727,9.09
PET-P0021,Dog Food 3kg Classic,Pet Supplies,1736.0,104.99350649350649,16.53
PET-P0022,Cat Litter Pack Classic,Pet Supplies,1067.0,207.8372093023256,5.13
PET-P0023,Pet Shampoo Classic,Pet Supplies,1160.0,166.05208333333334,6.99
PET-P0024,Pet Leash Classic,Pet Supplies,1402.0,154.72,9.06
PET-P0025,Pet Bed Classic,Pet Supplies,1395.0,107.3688524590164,12.99
PET-P0026,Bird Cage Classic,Pet Supplies,1757.0,68.74809160305344,25.56
PET-P0027,Fish Tank Filter Classic,Pet Supplies,1452.0,172.17117117117118,8.43
PET-P0028,Pet Grooming Kit Classic,Pet Supplies,700.0,87.62068965517241,7.99
PET-P0029,Chew Toy Classic,Pet Supplies,1405.0,117.14347826086957,11.99
PET-P0030,Pet Bowl Set Mini,Pet Supplies,882.0,228.88235294117646,3.85
PET-P0031,Dog Food 3kg Mini,Pet Supplies,1465.0,69.58119658119658,21.05
PET-P0032,Cat Litter Pack Mini,Pet Supplies,2250.0,209.15757575757576,10.76
PET-P0033,Pet Shampoo Mini,Pet Supplies,1464.0,120.73275862068965,12.13
PET-P0034,Pet Leash Mini,Pet Supplies,1122.0,88.66292134831461,12.65
PET-P0035,Pet Bed Mini,Pet Supplies,1226.5,55.64102564102564,22.04
SPO-P0001,Yoga Mat,Sports,1778.0,71.62091503267973,24.83
SPO-P0002,Cricket Bat,Sports,1167.0,60.458333333333336,19.3
SPO-P0003,Football,Sports,795.0,85.32142857142857,9.32
SPO-P0004,Dumbbell Set,Sports,1458.0,90.83050847457628,16.05
SPO-P0005,Badminton Racket,Sports,1046.0,105.32967032967034,9.93
SPO-P0006,Running Shoes,Sports,1367.0,117.15748031496064,11.67
SPO-P0007,Skipping Rope,Sports,788.0,96.55,8.16
SPO-P0008,Cycling Helmet,Sports,2296.0,121.4875,18.9
SPO-P0009,Gym Gloves,Sports,1422.0,188.70192307692307,7.54
SPO-P0010,Fitness Band,Sports,1409.0,147.57476635514018,9.55
SPO-P0011,Yoga Mat Plus,Sports,711.0,91.2051282051282,7.8
SPO-P0012,Cricket Bat Plus,Sports,1461.0,214.63492063492063,6.81
SPO-P0013,Football Plus,Sports,1566.0,221.1846846846847,7.08
SPO-P0014,Dumbbell Set Plus,Sports,1478.0,161.18103448275863,9.17
SPO-P0015,Badminton Racket Plus,Sports,1083.0,73.97333333333333,14.64
SPO-P0016,Running Shoes Plus,Sports,1699.0,231.21304347826086,7.35
SPO-P0017,Skipping Rope Plus,Sports,1724.0,58.00381679389313,29.72
SPO-P0018,Cycling Helmet Plus,Sports,1737.0,123.32014388489209,14.09
SPO-P0019,Gym Gloves Plus,Sports,2315.0,57.79746835443038,40.05
SPO-P0020,Fitness Band Classic,Sports,1599.0,129.69642857142858,12.33
SPO-P0021,Yoga Mat Classic,Sports,2147.0,126.98550724637681,16.91
SPO-P0022,Cricket Bat Classic,Sports,954.0,95.07303370786516,10.03
SPO-P0023,Football Classic,Sports,1331.0,86.57142857142857,15.37
SPO-P0024,Dumbbell Set Classic,Sports,1438.0,158.87037037037038,9.05
SPO-P0025,Badminton Racket Classic,Sports,856.0,157.25555555555556,5.44
SPO-P0026,Running Shoes Classic,Sports,1770.0,140.88888888888889,12.56
SPO-P0027,Skipping Rope Classic,Sports,1830.0,118.38235294117646,15.46
SPO-P0028,Cycling Helmet Classic,Sports,2072.0,153.54887218045113,13.49
SPO-P0029,Gym Gloves Classic,Sports,1173.0,61.04716981132076,19.21
SPO-P0030,Fitness Band Mini,Sports,1992.0,63.18382352941177,31.53
SPO-P0031,Yoga Mat Mini,Sports,1345.0,94.15322580645162,14.29
SPO-P0032,Cricket Bat Mini,Sports,1699.0,162.69402985074626,10.44
SPO-P0033,Football Mini,Sports,1314.0,107.52688172043011,12.22
SPO-P0034,Dumbbell Set Mini,Sports,2144.0,183.90506329113924,11.66
SPO-P0035,Badminton Racket Mini,Sports,941.0,100.01098901098901,9.41
STA-P0001,Notebook Pack,Stationery,2146.0,68.25,31.44
STA-P0002,Ball Pen Set,Stationery,1602.0,126.6328125,12.65
STA-P0003,Geometry Box,Stationery,1735.0,213.921875,8.11
STA-P0004,School Bag,Stationery,1580.0,99.22297297297297,15.92
STA-P0005,Colour Pencils,Stationery,1755.0,164.18421052631578,10.69
STA-P0006,Sketch Pen Set,Stationery,1498.0,149.5811965811966,10.01
STA-P0007,Printer Paper Ream,Stationery,2714.0,123.44171779141104,21.99
STA-P0008,File Folder Pack,Stationery,1900.0,67.79452054794521,28.03
STA-P0009,Highlighter Set,Stationery,1097.0,62.2970297029703,17.61
STA-P0010,Calculator,Stationery,1577.0,276.4848484848485,5.7
STA-P0011,Notebook Pack Plus,Stationery,1815.0,77.5985401459854,23.39
STA-P0012,Ball Pen Set Plus,Stationery,1081.0,155.21951219512195,6.96
STA-P0013,Geometry Box Plus,Stationery,1839.0,123.99248120300751,14.83
STA-P0014,School Bag Plus,Stationery,2357.0,150.55102040816325,15.66
STA-P0015,Colour Pencils Plus,Stationery,1280.0,158.4018691588785,8.08
STA-P0016,Sketch Pen Set Plus,Stationery,1618.0,170.35537190082644,9.5
